,area_metro_quadrado_int,quartos_int,banheiros_int,vagas_int,preco_anuncio_float
0,1000,4,8,6,7000000.0
1,469,3,3,4,3700000.0
2,125,4,3,2,380000.0
3,310,3,2,4,685000.0
4,100,3,2,2,540000.0
5,440,4,4,6,1980000.0
6,145,4,4,2,850000.0
7,150,2,2,2,450000.0
8,46,2,1,1,199900.0
9,114,3,3,2,585000.0
10,261,4,4,3,700000.0
11,436,4,3,3,15000.0
12,193,3,3,2,2500000.0
13,251,3,5,4,1700000.0
14,300,4,5,4,1150000.0
15,500,3,5,6,1999000.0
16,135,3,3,2,550000.0
17,180,4,2,4,420000.0
18,300,3,5,4,2232000.0
19,772,7,7,6,2700000.0
20,605,3,3,4,4190000.0
21,110,3,2,5,860000.0
22,66,2,2,1,375000.0
23,250,4,4,4,650000.0
24,120,2,1,1,490000.0
25,170,2,2,1,1485000.0
26,250,3,1,5,650000.0
27,110,3,3,2,550000.0
28,120,3,2,2,1100000.0
29,502,4,6,4,2985000.0
30,268,3,6,4,1700000.0
31,355,4,7,4,3100000.0
32,1195,4,4,6,8700000.0
33,220,4,4,3,849000.0
34,320,5,4,6,890000.0
35,180,3,3,4,550000.0
36,325,4,6,3,1650000.0
37,110,2,1,1,445000.0
38,125,2,1,2,425000.0
39,120,2,3,2,500000.0
40,138,3,1,3,1060000.0
41,401,5,9,4,3890000.0
42,420,4,4,4,2200000.0
43,260,4,4,4,1250000.0
44,200,3,5,3,1250000.0
45,463,4,6,6,2200000.0
46,132,2,1,1,390000.0
47,154,2,4,4,650000.0
48,300,4,4,3,1600000.0
49,250,2,2,2,370000.0
50,120,2,2,1,130000.0
51,110,3,3,2,545000.0
52,180,3,3,3,1100000.0
53,151,3,3,8,520000.0
54,170,3,2,2,325000.0
55,211,4,7,8,890000.0
56,102,3,4,2,409000.0
57,177,3,5,2,1500000.0
58,190,2,2,2,1100000.0
59,650,4,6,4,5500000.0
60,126,3,2,2,312000.0
61,210,3,2,6,250000.0
62,200,4,3,2,775000.0
63,200,3,3,2,13000.0
64,440,4,6,7,2200000.0
65,225,2,2,2,780000.0
66,350,3,5,6,980000.0
67,220,3,3,2,750000.0
68,249,4,3,2,1290000.0
69,386,4,4,5,1680000.0
70,99,3,2,2,650000.0
71,663,4,7,6,14500000.0
72,420,4,6,3,8700000.0
73,211,3,3,3,1237000.0
74,180,3,4,4,950000.0
75,150,4,1,5,510000.0
76,200,3,5,3,1500000.0
77,452,4,6,2,4240000.0
78,129,3,2,2,490000.0
79,250,3,4,4,2190000.0
80,250,3,3,5,2180000.0
81,152,2,3,2,398000.0
82,192,4,2,2,950000.0
83,184,4,3,4,1390000.0
84,100,2,2,1,530000.0
85,253,4,4,2,1280000.0
86,850,4,8,6,6500000.0
87,47,2,1,1,188200.0
88,400,5,4,4,2900000.0
89,358,4,4,4,3500000.0
90,140,3,4,2,775000.0
91,500,5,7,7,3500000.0
92,119,2,2,2,670000.0
93,650,4,7,4,3500000.0
94,78,2,2,1,298000.0
95,250,3,3,3,1500000.0
96,84,3,3,2,470000.0
97,243,3,5,3,2400000.0
98,145,4,3,2,1350000.0
99,150,3,2,2,800000.0
100,240,3,3,7,890000.0
101,167,3,4,2,630000.0
102,256,4,3,1,1063830.0
103,220,4,3,2,750000.0
104,360,4,5,4,1800000.0
105,354,4,6,4,2950000.0
106,250,3,3,1,1350000.0
107,186,3,3,2,750000.0
108,44,2,1,2,180000.0
109,756,5,4,10,37000000.0
110,500,4,3,4,1200000.0
111,400,5,6,4,2500000.0
112,627,3,6,6,4950000.0
113,80,3,1,2,420000.0
114,190,3,2,4,920000.0
115,1060,5,5,4,30000000.0
116,170,3,2,2,940000.0
117,1192,4,3,6,6200000.0
118,200,4,3,1,550000.0
119,724,4,6,3,8000000.0
120,300,6,3,2,430000.0
121,120,4,3,2,650000.0
122,160,3,4,2,940000.0
123,200,4,6,3,2014000.0
124,217,5,3,2,670000.0
125,167,2,2,2,820000.0
126,440,4,5,4,3950000.0
127,250,3,5,2,2450000.0
128,250,5,6,2,486000.0
129,70,2,4,2,800000.0
130,455,4,5,3,680000.0
131,80,2,1,1,245000.0
132,125,3,3,1,610000.0
133,185,3,5,5,460000.0
134,250,5,3,5,850000.0
135,131,3,2,2,540000.0
136,114,3,4,2,550000.0
137,104,1,1,1,270000.0
138,360,4,5,4,1750000.0
139,98,3,3,1,1050000.0
140,351,4,4,4,3480000.0
141,700,4,5,4,7900000.0
142,300,3,5,4,2400000.0
143,125,3,4,3,800000.0
144,450,5,6,5,5500000.0
145,534,5,6,5,4500000.0
146,340,4,6,3,3000000.0
147,200,3,3,2,2700000.0
148,110,2,1,3,620000.0
149,170,4,3,2,1600000.0
150,340,4,6,7,2200000.0
151,235,3,4,3,1280000.0
152,114,3,1,3,510000.0
153,300,4,6,4,1600000.0
154,571,3,2,3,987000.0
155,57,3,1,5,350000.0
156,150,3,2,2,600000.0
157,693,4,5,6,16000000.0
159,257,3,4,4,1600000.0
160,140,3,4,4,900000.0
161,299,4,5,3,2140000.0
162,170,3,4,2,1490000.0
164,200,3,2,2,1000000.0
165,100,2,2,1,940000.0
166,243,5,4,2,1390000.0
167,228,4,5,3,2200000.0
168,420,5,7,6,1900000.0
169,168,3,1,2,621000.0
170,300,3,3,3,1300000.0
171,110,2,1,2,450000.0
172,350,3,4,2,1969000.0
173,1200,6,7,8,6360000.0
174,146,3,2,2,1550000.0
175,130,2,2,1,688000.0
176,170,4,5,6,1700000.0
177,232,8,3,1,500000.0
178,443,4,6,8,1800000.0
179,156,4,4,2,2340000.0
180,250,4,4,3,580000.0
181,200,3,3,2,570000.0
183,231,4,5,6,1650000.0
184,420,3,6,5,3500000.0
186,140,3,3,2,490000.0
187,350,5,7,7,2500000.0
188,120,3,3,3,500000.0
190,361,4,6,5,1490000.0
192,65,1,1,2,480000.0
193,180,4,2,1,300000.0
194,363,4,6,4,5100000.0
196,184,3,3,2,1272000.0
197,230,3,3,4,1500000.0
199,437,3,5,5,1850000.0
200,176,3,4,2,620000.0
201,88,3,3,1,455000.0
202,713,5,7,6,26600000.0
203,266,6,6,6,1750000.0
204,430,5,6,4,3150000.0
205,1060,4,5,9,11489000.0
206,180,3,3,3,850000.0
208,600,4,6,4,2200000.0
209,180,4,4,4,2400000.0
210,113,3,2,2,570000.0
211,497,3,4,8,1300000.0
212,224,3,4,2,1500000.0
213,127,3,1,2,540000.0
214,190,3,4,4,750000.0
215,60,2,5,1,251000.0
216,124,4,3,1,595000.0
217,118,4,5,3,960000.0
218,358,3,4,4,2160000.0
220,546,4,7,6,3290000.0
221,252,3,5,4,2900000.0
222,293,3,5,4,3650000.0
223,639,4,8,4,3600000.0
224,160,3,4,3,860000.0
225,155,3,1,1,1300000.0
226,80,2,1,2,374500.0
228,180,3,4,1,750000.0
229,230,3,2,3,660000.0
230,260,3,3,2,940000.0
231,500,8,5,1,990000.0
232,300,3,5,2,1350000.0
234,360,3,5,4,4950000.0
235,120,3,4,2,1550000.0
236,120,3,2,2,1550000.0
237,1643,4,5,10,4500000.0
238,381,4,4,6,1250000.0
239,750,5,5,8,6500000.0
240,554,4,7,4,2750000.0
242,250,3,6,2,1600000.0
243,229,3,2,2,949000.0
244,200,3,2,2,710000.0
245,198,3,4,3,972000.0
246,130,2,2,2,350000.0
247,147,3,3,3,820000.0
248,400,4,4,4,2100000.0
249,178,3,3,3,1250000.0
250,66,4,3,1,590000.0
251,260,3,5,2,2350000.0
252,584,4,6,4,2950000.0
254,125,2,1,1,370000.0
255,80,2,2,4,870000.0
256,100,3,1,2,340000.0
257,831,4,8,4,16000000.0
258,617,4,4,8,9500000.0
260,180,4,2,4,1290000.0
261,680,4,6,3,11700000.0
262,129,3,2,2,750000.0
263,120,3,3,2,550000.0
264,191,3,4,1,2590000.0
265,170,3,2,4,630000.0
267,280,4,3,8,3995000.0
268,220,3,4,4,1490000.0
269,1039,6,7,20,22000000.0
270,101,3,4,2,600000.0
272,160,3,2,2,580000.0
273,631,4,5,6,3500000.0
274,300,4,6,4,1600000.0
275,600,7,7,6,10600000.0
276,306,4,3,2,2000000.0
277,120,3,4,3,2850000.0
278,140,4,3,4,800000.0
279,354,5,5,6,1350000.0
280,120,3,3,4,380000.0
281,164,2,1,1,440000.0
282,120,4,3,2,780000.0
283,140,3,2,3,780000.0
285,135,3,4,2,799000.0
287,171,3,1,4,420000.0
288,240,2,4,6,1800000.0
289,36,2,1,1,190000.0
290,180,3,3,2,559000.0
291,160,3,4,3,799000.0
293,200,3,1,10,2240000.0
294,160,6,3,4,550000.0
295,120,3,2,1,530000.0
296,255,3,5,3,2200000.0
297,100,4,3,4,600000.0
299,770,4,1,6,7000000.0
300,450,5,5,4,2100000.0
301,480,3,2,4,1060000.0
302,400,2,5,3,2150000.0
303,296,3,5,6,1800000.0
304,200,3,4,2,1070000.0
305,400,4,3,4,1800000.0
306,288,4,5,3,2890000.0
307,150,3,2,2,435000.0
308,180,3,4,3,450000.0
309,300,4,4,2,1290000.0
310,750,4,7,4,6900000.0
311,120,2,2,2,1620000.0
312,190,3,3,2,2290000.0
313,750,4,7,4,6900000.0
314,120,2,2,2,1620000.0
315,190,3,3,2,2290000.0
316,250,3,5,4,1200000.0
317,230,5,5,2,990000.0
318,391,4,5,4,2850000.0
319,440,3,5,5,1780000.0
320,170,3,5,3,2400000.0
321,380,7,5,6,3200000.0
322,130,3,2,2,660000.0
323,763,5,6,4,3490000.0
324,232,3,2,3,1000000.0
325,136,3,4,3,1800000.0
326,125,3,2,2,1150000.0
327,488,4,6,3,2950000.0
328,1530,4,6,6,9890000.0
329,700,3,8,6,4000000.0
330,135,1,2,4,1550000.0
331,1643,4,5,10,3800000.0
332,147,2,3,3,690000.0
333,192,3,3,2,1600000.0
334,201,3,3,4,960000.0
335,158,4,4,2,820000.0
336,280,3,3,4,2500000.0
337,1300,5,8,9,10000000.0
338,125,2,1,1,315000.0
339,240,3,2,3,1300000.0
340,200,5,5,3,3880000.0
341,300,4,5,7,950000.0
342,150,3,2,1,795000.0
343,350,6,4,10,1700000.0
345,210,4,3,3,2300000.0
346,514,4,6,6,2800000.0
347,237,3,4,3,3200000.0
348,350,4,6,4,2200000.0
